age	everyone	SEX1	SEX2	origREP	natMAL	natMALf	natMALm	natFO	natFOf	natFOm	empEMP	empEMPf	empEMPm	empUNEMP	empUNEMPf	empUNEMPm	empNILF	empNILFf	empNILFm	eduMS	eduMSf	eduMSm	eduHS	eduHSf	eduHSm	eduDIPL	eduDIPLf	eduDIPLm	eduDIPM	eduDIPMf	eduDIPMm	eduBS	eduBSf	eduBSm	eduADV	eduADVf	eduADVm	eduNC	eduNCf	eduNCm	origMALE	origMALEf	origMALEm	origAD	origADf	origADm	origNON	origNONf	origNONm
30	0.168693009	0.080988693	0.218289963	0.168693009	0.107345455	0.055211101	0.157970183	0.284150014	0.290865385	0.283286994	0.186645888	0.123493976	0.206456693	0.230769231	0.12987013	0.304761905	0.087855297	0.028976937	0.495901639	0.13042335	0.06519337	0.189663823	0.287564767	0.185840708	0.32967033	0.136363636	0.079812207	0.189427313	0.159739201	0.115646259	0.200312989	0.467741935	0.344827586	0.5234375	0.417322835	0.302325581	0.476190476	0.168365861	0.044496487	0.209383482	0.17267023	0.088484848	0.22502827	0.116011946	0.042016807	0.180257511	0.282051282	0.592307692	0.258897819
31	0.141358641	0.078519856	0.185952178	0.141358641	0.092312914	0.056120775	0.131061138	0.278014184	0.324909747	0.270946681	0.156897959	0.113730112	0.173441734	0.211678832	0.066666667	0.324675325	0.079834418	0.040682415	0.437125749	0.1183687	0.07221458	0.161331626	0.254125413	0.155844156	0.287610619	0.103359173	0.062827225	0.142857143	0.132612967	0.092885375	0.171875	0.419354839	0.490909091	0.38	0.216981132	0.133333333	0.25	0.139016897	0.043859649	0.190307329	0.147509579	0.098137536	0.187211982	0.087709339	0.035422343	0.144549763	0.266814486	0.634408602	0.23968254
32	0.113600505	0.070245726	0.141766441	0.113600505	0.077595461	0.051805802	0.105313395	0.192230409	0.240437158	0.185496183	0.121491525	0.095683827	0.130594277	0.192307692	0.055555556	0.30952381	0.075709779	0.041789288	0.359605911	0.094577147	0.071380471	0.115933044	0.225903614	0.183908046	0.240816327	0.080645161	0.035897436	0.117154812	0.112014453	0.079696395	0.14137931	0.318181818	0.461538462	0.258064516	0.189189189	0.170731707	0.2	0.104452534	0.035449299	0.139949109	0.106623181	0.077430972	0.127586207	0.083778966	0.033725089	0.133502538	0.204516939	0.561983471	0.175152749
33	0.107615019	0.067525126	0.136757991	0.107615019	0.079694711	0.046132501	0.114867321	0.189119171	0.272425249	0.173726212	0.113832356	0.09540636	0.121463415	0.241666667	0.133333333	0.306666667	0.076537014	0.032051282	0.405263158	0.099506579	0.07079646	0.124423963	0.219512195	0.253521127	0.205714286	0.0875	0.06185567	0.111650485	0.107658158	0.080536913	0.134361233	0.22972973	0.31147541	0.172413793	0.205882353	0.3	0.166666667	0.084541917	0.023914969	0.124852768	0.1	0.066566941	0.125499144	0.078859569	0.034997131	0.128056628	0.20815633	0.625	0.167753961
34	0.088316832	0.065045992	0.103950563	0.088316832	0.06480811	0.047275352	0.082455503	0.15163335	0.245421245	0.137232846	0.090175198	0.089694656	0.090352941	0.189781022	0.106060606	0.267605634	0.074951954	0.036416606	0.356382979	0.083022388	0.081695967	0.08411215	0.147679325	0.170212766	0.142105263	0.086253369	0.073863636	0.097435897	0.091825308	0.074162679	0.107368421	0.2	0.222222222	0.191011236	0.150537634	0.233333333	0.111111111	0.075630252	0.033254157	0.103076923	0.085893624	0.079449962	0.09080326	0.060979273	0.025423729	0.09600477	0.168990976	0.626506024	0.13556338
35	0.07383522	0.059449541	0.081879746	0.07383522	0.059111292	0.042518397	0.075609756	0.100668648	0.207885305	0.088271861	0.072826808	0.080793763	0.070392029	0.125	0	0.211267606	0.073013601	0.036378335	0.35625	0.059490085	0.048257373	0.067713445	0.165714286	0.195121951	0.156716418	0.048859935	0.04379562	0.052941176	0.074168798	0.072254335	0.075688073	0.210526316	0.451612903	0.120481928	0.127906977	0.206896552	0.087719298	0.064004531	0.035714286	0.079700572	0.070449474	0.057823129	0.078021418	0.063642092	0.038121171	0.085630499	0.107226107	0.475	0.082850041
36	0.069612485	0.058572039	0.077288942	0.069612485	0.059212136	0.046941679	0.072295248	0.095915842	0.165217391	0.084415584	0.069561264	0.074164629	0.06778058	0.145833333	0.175	0.125	0.06454389	0.037463977	0.297520661	0.064828614	0.050359712	0.075063613	0.096938776	0.146341463	0.083870968	0.06870229	0.064516129	0.072463768	0.075851393	0.064189189	0.085714286	0.185840708	0.394736842	0.08	0.09375	0.130434783	0.073170732	0.057240334	0.035497835	0.074173972	0.062146893	0.055502392	0.067675159	0.056831923	0.039869813	0.073482428	0.122692725	0.461538462	0.096962617
37	0.055875381	0.045581767	0.063436123	0.055875381	0.046470458	0.03437772	0.05898244	0.086517664	0.172413793	0.071790541	0.056937173	0.056868538	0.056965944	0.072289157	0.03030303	0.1	0.050496689	0.032110092	0.220338983	0.062089116	0.061068702	0.062721893	0.080745342	0.025	0.099173554	0.032448378	0.040462428	0.024096386	0.071038251	0.076452599	0.066666667	0.129411765	0.235294118	0.102941176	0.209876543	0.291666667	0.175438596	0.040808824	0.02507837	0.054709141	0.057214977	0.045801527	0.066215199	0.043146239	0.030021444	0.058196721	0.089010989	0.444444444	0.066588785
38	0.053618421	0.043358297	0.060965284	0.053618421	0.046304348	0.033562823	0.059314587	0.076351351	0.150234742	0.063930545	0.053377815	0.052484255	0.053757054	0.112676056	0.052631579	0.181818182	0.050643777	0.031669866	0.211382114	0.061383061	0.058	0.063532402	0.116564417	0.1875	0.099236641	0.034591195	0.007092199	0.056497175	0.044715447	0.041269841	0.047281324	0.173469388	0.285714286	0.128571429	0.228571429	0.272727273	0.208333333	0.039195637	0.025297619	0.050943396	0.05687573	0.050770626	0.06147541	0.039118876	0.023861171	0.056	0.0875	0.411764706	0.067551267
39	0.047664625	0.038513211	0.054496824	0.047664625	0.042527631	0.031715521	0.053339741	0.06779661	0.131578947	0.057142857	0.044579781	0.040412044	0.046429828	0.051948052	0	0.097560976	0.060878244	0.037321625	0.296703297	0.043835616	0.052896725	0.038681948	0.072	0.066666667	0.073684211	0.027118644	0.021126761	0.032679739	0.031437126	0.026666667	0.035326087	0.136363636	0.148148148	0.131147541	0.116666667	0.235294118	0.069767442	0.0417154	0.026294166	0.055637982	0.04950495	0.037393162	0.05907173	0.040268456	0.027888446	0.054030115	0.066759388	0.380952381	0.047267356
40	0.043769855	0.035451197	0.048941042	0.043769855	0.040871935	0.032	0.04958272	0.050951504	0.075581395	0.048043926	0.037974684	0.035743973	0.038787879	0.054347826	0.023255814	0.081632653	0.065493646	0.035634744	0.28	0.052230686	0.054140127	0.051239669	0.074074074	0.2	0.036144578	0.025362319	0.01754386	0.030864198	0.045955882	0.014150943	0.06626506	0.08974359	0.15	0.068965517	0.06779661	0	0.097560976	0.034494196	0.021021021	0.045157457	0.043307087	0.035714286	0.048201439	0.039231071	0.026634383	0.051145038	0.058965102	0.324324324	0.046599496
41	0.045819015	0.04077472	0.049937578	0.045819015	0.04196776	0.033224401	0.05107832	0.063885267	0.150793651	0.046801872	0.04147881	0.044090056	0.040247678	0.076923077	0	0.185185185	0.057692308	0.037394451	0.214953271	0.055152395	0.034042553	0.066079295	0.048780488	0.066666667	0.044776119	0.05	0.052631579	0.047945205	0.041575492	0.055	0.031128405	0.1	0.2	0.066666667	0.212765957	0.3125	0.161290323	0.0336714	0.028067362	0.039408867	0.048984468	0.043941411	0.053087757	0.035266821	0.028037383	0.04396728	0.078358209	0.411764706	0.055776892
42	0.034111976	0.028224056	0.038498868	0.034111976	0.031693472	0.02315887	0.040599323	0.042881647	0.104166667	0.034246575	0.032007531	0.03030303	0.032748143	0.070422535	0.063829787	0.083333333	0.039272031	0.022245763	0.2	0.038860104	0.040322581	0.038167939	0.043478261	0.095238095	0.028169014	0.020408163	0.013793103	0.026845638	0.040540541	0.035856574	0.04398827	0.101449275	0.090909091	0.106382979	0.061538462	0.166666667	0.021276596	0.025254182	0.018455229	0.031525851	0.031047266	0.026612078	0.034716342	0.0328	0.024729521	0.04145937	0.047554348	0.21875	0.039772727
43	0.040249677	0.032520325	0.046575342	0.040249677	0.034874709	0.025075226	0.045285029	0.067096774	0.18556701	0.050147493	0.037057992	0.040998217	0.03522586	0.071428571	0.027777778	0.117647059	0.050746269	0.02310231	0.3125	0.058267717	0.057416268	0.058685446	0.083333333	0.15	0.0625	0.029411765	0.020618557	0.035460993	0.061363636	0.064171123	0.059288538	0.096153846	0.166666667	0.075	0.092592593	0.266666667	0.025641026	0.025594809	0.016997167	0.034508076	0.03667214	0.034855769	0.038190955	0.038277512	0.023462783	0.055503293	0.061538462	0.434782609	0.044265594
44	0.037832998	0.0299037	0.044105854	0.037832998	0.034861893	0.025925926	0.044045677	0.052845528	0.120481928	0.044274809	0.036004646	0.033759124	0.037052811	0.042857143	0.028571429	0.057142857	0.042437432	0.023199023	0.2	0.059183673	0.085526316	0.047337278	0	0	0	0.034042553	0.055045872	0.015873016	0.036717063	0.027173913	0.043010753	0.058823529	0.083333333	0.051282051	0.090909091	0.214285714	0.048780488	0.027472527	0.016129032	0.038799414	0.044864227	0.034620506	0.053022269	0.030748663	0.024086379	0.038461538	0.04536862	0.222222222	0.039138943
45	0.033679834	0.032372281	0.034592305	0.033679834	0.02918546	0.024154589	0.034102833	0.049951969	0.166666667	0.035598706	0.030005311	0.031452359	0.029422719	0.025974026	0	0.054054054	0.046808511	0.032181168	0.168316832	0.026200873	0.023255814	0.027355623	0.044776119	0.2	0.01754386	0.025751073	0.048076923	0.007751938	0.045023697	0.066666667	0.031128405	0.070175439	0.117647059	0.05	0.155172414	0.166666667	0.15	0.027327935	0.01896426	0.034526051	0.039317124	0.041162228	0.037940379	0.025213675	0.019400353	0.030679934	0.05027933	0.470588235	0.036538462
46	0.02850062	0.023127753	0.032897702	0.02850062	0.024935512	0.018518519	0.031232254	0.051282051	0.113636364	0.03930131	0.026385224	0.025746653	0.026686075	0	0	0	0.038588754	0.021546261	0.152542373	0.040871935	0.036697248	0.042635659	0.089552239	0.142857143	0.083333333	0.025380711	0.013888889	0.032	0.040345821	0.06993007	0.019607843	0.025	0	0.029411765	0	0	0	0.020159757	0.014514897	0.025757576	0.030779754	0.024653313	0.035670357	0.023277042	0.017346054	0.029865125	0.04973822	0.428571429	0.035326087
47	0.024338058	0.019042123	0.02891326	0.024338058	0.022072348	0.016877637	0.027448534	0.039832285	0.067567568	0.034739454	0.02191092	0.018458198	0.023617821	0.018518519	0.034482759	0	0.032369942	0.019893899	0.117117117	0.028213166	0.0125	0.033472803	0.01754386	0.142857143	0	0.033898305	0	0.055555556	0.023121387	0.024793388	0.022222222	0.073170732	0.1	0.064516129	0.068181818	0.133333333	0.034482759	0.018852116	0.014411529	0.023725835	0.025531915	0.024539877	0.026385224	0.02133995	0.014005602	0.029661017	0.038216561	0.2	0.032894737
48	0.026659412	0.026147589	0.027109974	0.026659412	0.027358491	0.023693803	0.031290743	0.022177419	0.08	0.011876485	0.021370671	0.023728814	0.020229634	0.027027027	0.052631579	0	0.042410714	0.027672956	0.158415842	0.020618557	0.022988506	0.019607843	0.041666667	0	0.048780488	0.014492754	0.01754386	0.012345679	0.028213166	0.03030303	0.026737968	0.035714286	0.153846154	0	0	0	0	0.021091811	0.017713366	0.024659864	0.023125438	0.028901734	0.017687075	0.027835052	0.020750988	0.035560345	0.035598706	0.235294118	0.023972603
49	0.025940997	0.021240917	0.029864676	0.025940997	0.022624434	0.017291066	0.027762354	0.055555556	0.148148148	0.040935673	0.023578363	0.025191676	0.02283105	0.059701493	0.032258065	0.083333333	0.029723992	0.017094017	0.113821138	0.046594982	0.079365079	0.037037037	0.041666667	0	0.048780488	0.019480519	0.033898305	0.010526316	0.039087948	0.027777778	0.045226131	0	0	0	0.071428571	0.333333333	0.027777778	0.019771863	0.015060241	0.024577573	0.028666667	0.025495751	0.031486146	0.022769517	0.015799257	0.029739777	0.035714286	0.428571429	0.025641026
50	0.023692574	0.01996008	0.026557712	0.023692574	0.022734985	0.01796821	0.027333333	0.029182879	0.071428571	0.024017467	0.026066351	0.030872483	0.024062675	0.018518519	0	0.037037037	0.01783591	0.009873061	0.060606061	0.034188034	0.059701493	0.023952096	0.03030303	0.5	0	0.020689655	0.030769231	0.0125	0.012244898	0.011111111	0.012903226	0.083333333	0	0.1	0	0	0	0.017865118	0.014018692	0.0213858	0.028571429	0.024671053	0.03202329	0.02041913	0.014672686	0.025641026	0.02295082	0.222222222	0.016891892
51	0.021283457	0.018493151	0.023765996	0.021283457	0.019532612	0.015558699	0.023399862	0.042735043	0.108695652	0.026595745	0.018876611	0.015647226	0.020422056	0.015873016	0	0.03030303	0.028846154	0.02266289	0.063492063	0.01863354	0.088235294	0	0.096774194	0.222222222	0.045454545	0	0	0	0.040201005	0.011904762	0.060869565	0.03030303	0	0.04	0.043478261	0	0.045454545	0.015947467	0.012014787	0.02	0.021390374	0.021113244	0.021630616	0.022046354	0.016146394	0.028571429	0.014285714	0.1	0.01
52	0.023200476	0.017791411	0.028290993	0.023200476	0.023029517	0.015752993	0.030748663	0.025089606	0.093023256	0.012711864	0.022537563	0.022864019	0.022364217	0	0	0	0.027303754	0.013227513	0.113821138	0.028735632	0	0.038167939	0.029411765	0	0.04	0.040983607	0.052631579	0.030769231	0.014354067	0.025641026	0.007633588	0.055555556	0.333333333	0.03030303	0	0	0	0.018558481	0.011589404	0.026149684	0.033519553	0.022508039	0.04437401	0.016623377	0.013986014	0.019480519	0.02173913	0.142857143	0.016949153
53	0.021452651	0.018481848	0.02402746	0.021452651	0.019902121	0.015540541	0.023974763	0.045454545	0.142857143	0.024539877	0.019338204	0.021136063	0.018471338	0.02	0	0.04	0.025851939	0.016877637	0.071428571	0.044776119	0.083333333	0.030612245	0.081081081	0	0.096774194	0.00877193	0.019230769	0	0.028169014	0.043478261	0.020833333	0.052631579	0.5	0	0.090909091	0.25	0	0.016896398	0.013636364	0.020017406	0.028911565	0.028268551	0.029508197	0.017726799	0.012658228	0.022680412	0.01183432	0	0.011904762
54	0.021832617	0.019985724	0.023427867	0.021832617	0.020509194	0.016152717	0.024556617	0.041025641	0.153846154	0.012820513	0.020485946	0.027190332	0.017397356	0	0	0	0.026900585	0.014204545	0.086092715	0.027210884	0	0.038095238	0.04	0	0.047619048	0.033333333	0.12	0	0.035294118	0.037037037	0.034482759	0	0	0	0.04	0.25	0	0.016159696	0.015209125	0.017110266	0.021674877	0.022088353	0.021276596	0.021069692	0.017777778	0.024185068	0.031847134	0.333333333	0.025974026
55	0.017320261	0.011797363	0.022235948	0.017320261	0.016319444	0.009964413	0.022372881	0.033333333	0.083333333	0.020833333	0.012007685	0.00872093	0.013629842	0.020408163	0	0.028571429	0.028729282	0.015172414	0.083333333	0.053097345	0.027777778	0.064935065	0.058823529	0.333333333	0	0.009803922	0	0.015151515	0.006622517	0.01754386	0	0	0	0	0.058823529	0.2	0	0.012915129	0.009319664	0.016438356	0.019267823	0.015414258	0.023121387	0.015376458	0.008705114	0.021716649	0.029411765	0.333333333	0.022556391
56	0.016361511	0.009159034	0.022693997	0.016361511	0.015132924	0.008481764	0.021327014	0.040983607	0.045454545	0.04	0.014405762	0.010989011	0.016071429	0	0	0	0.020631068	0.00805153	0.0591133	0.075757576	0.052631579	0.085106383	0	0	0	0	0	0	0.014388489	0.02	0.011235955	0	0	0	0	0	0	0.01280683	0.006465517	0.019027484	0.02200489	0.019047619	0.025125628	0.013830427	0.003841229	0.022675737	0.011627907	0	0.011627907
57	0.017565359	0.015202703	0.019778481	0.017565359	0.014132762	0.012131716	0.016088061	0.088495575	0.133333333	0.072289157	0.015743073	0.01682243	0.015194682	0.033333333	0	0.047619048	0.021144279	0.01433121	0.045454545	0.075	0.111111111	0.064516129	0	0	0	0.023809524	0.038461538	0.017241379	0.01910828	0.040816327	0.009259259	0.076923077	0	0.111111111	0	0	0	0.01260745	0.011185682	0.014101058	0.020905923	0.021459227	0.020253165	0.014540648	0.009776536	0.018820577	0.040540541	0.5	0.027777778
58	0.015758667	0.013108614	0.018213356	0.015758667	0.014636449	0.009578544	0.019553073	0.038834951	0.166666667	0	0.011111111	0.016563147	0.008359457	0.035714286	0	0.0625	0.024623803	0.010676157	0.071005917	0	0	0	0.142857143	0.4	0	0	0	0	0.015384615	0.046511628	0	0	0	0	0.1	0.25	0	0.012345679	0.007352941	0.017412935	0.018111255	0.020833333	0.015424165	0.014556041	0.007331378	0.021676301	0.013513514	0.5	0
